nyasaland	malawi.n.01.l
lilongwe	lilongwe.n.01.l
zomba	zomba.n.01.l
malaysia	malaysia.n.01.l
malaya	malaysia.n.01.l
kuala_lumpur	kuala_lumpur.n.01.l
maldives	maldives.n.01.l
male	male.n.03.l
mali	mali.n.01.l
bamako	bamako.n.01.l
timbuktu	timbuktu.n.01.l
malta	malta.n.01.l
valletta	valletta.n.01.l
valetta	valletta.n.01.l
mauritania	mauritania.n.01.l
nouakchott	nouakchott.n.01.l
port_louis	port_louis.n.01.l
monaco	monaco.n.01.l
ulaanbaatar	ulan_bator.n.01.l
casablanca	casablanca.n.01.l
fez	fez.n.01.l
fes	fez.n.01.l
marrakesh	marrakesh.n.01.l
marrakech	marrakesh.n.01.l
oujda	oujda.n.01.l
rabat	rabat.n.01.l
tangier	tangier.n.01.l
mozambique	mozambique.n.01.l
mocambique	mozambique.n.01.l
beira	beira.n.01.l
maputo	maputo.n.01.l
wellington	wellington.n.02.l
niger	niger.n.02.l
niamey	niamey.n.01.l
nigeria	nigeria.n.01.l
abuja	abuja.n.01.l
ibadan	ibadan.n.01.l
katsina	katsina.n.01.l
lagos	lagos.n.01.l
maiduguri	maiduguri.n.01.l
zaria	zaria.n.01.l
muscat	muscat.n.02.l
masqat	muscat.n.02.l
hyderabad	hyderabad.n.01.l
islamabad	islamabad.n.01.l
karachi	karachi.n.01.l
rawalpindi	rawalpindi.n.01.l
palau	palau.n.01.l
paraguay	paraguay.n.01.l
asuncion	asuncion.n.01.l
peru	peru.n.01.l
arequipa	arequipa.n.01.l
cuzco	cuzco.n.01.l
cusco	cuzco.n.01.l
lima	lima.n.01.l
philippines	philippines.n.01.l
manila	manila.n.02.l
poland	poland.n.01.l
warsaw	warszawa.n.01.l
bydgoszcz	bydgoszcz.n.01.l
bromberg	bydgoszcz.n.01.l
cracow	cracow.n.01.l
krakow	cracow.n.01.l
czestochowa	czestochowa.n.01.l
katowice	katowice.n.01.l
lublin	lublin.n.01.l
wroclaw	wroclaw.n.01.l
breslau	wroclaw.n.01.l
zabrze	zabrze.n.01.l
portugal	portugal.n.01.l
setubal	setubal.n.01.l
