massachusetts_bay	massachusetts_bay.n.01
cape_cod_bay	cape_cod_bay.n.01
mediterranean	mediterranean.n.01
abukir	abukir.n.01
adriatic	adriatic.n.01
gulf_of_venice	gulf_of_venice.n.01
aegean	aegean.n.01
aegean_island	aegean_island.n.01
lemnos	lemnos.n.01
corse	corse.n.01
crete	crete.n.01
labyrinth_of_minos	labyrinth_of_minos.n.01
cyprus	cyprus.n.02
cyprus	cyprus.n.01
nicosia	nicosia.n.01
egadi_islands	egadi_islands.n.01
gulf_of_antalya	gulf_of_antalya.n.01
gulf_of_sidra	gulf_of_sidra.n.01
ionian_sea	ionian_sea.n.01
gulf_of_corinth	gulf_of_corinth.n.01
ligurian_sea	ligurian_sea.n.01
malta	malta.n.02
malta	malta.n.01
valletta	valletta.n.01
perejil	perejil.n.01
sardinia	sardinia.n.02
sicily	sicily.n.02
cape_passero	cape_passero.n.01
tyrrhenian_sea	tyrrhenian_sea.n.01
middle_east	middle_east.n.01
egypt	egypt.n.01
alexandria	alexandria.n.02
arabian_desert	arabian_desert.n.01
aswan	aswan.n.01
aswan_high_dam	aswan_high_dam.n.01
cairo	cairo.n.02
el_alamein	el_alamein.n.01
giza	giza.n.01
lake_nasser	lake_nasser.n.01
libyan_desert	libyan_desert.n.01
lower_egypt	lower_egypt.n.01
luxor	luxor.n.01
memphis	memphis.n.02
nile	nile.n.01
saqqara	saqqara.n.01
sinai	sinai.n.03
sinai	sinai.n.01
sinai	sinai.n.02
suez	suez.n.01
suez_canal	suez_canal.n.01
thebes	thebes.n.01
upper_egypt	upper_egypt.n.01
nag_hammadi	nag_hammadi.n.01
fertile_crescent	fertile_crescent.n.01
iran	iran.n.01
abadan	abadan.n.01
bam	bam.n.01
caspian	caspian.n.01
dasht-e-kavir	dasht-e-kavir.n.01
dasht-e-lut	dasht-e-lut.n.01
demavend	demavend.n.01
isfahan	isfahan.n.01
kurdistan	kurdistan.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kurd	kurd.n.01
lake_urmia	lake_urmia.n.01
mashhad	mashhad.n.01
persepolis	persepolis.n.01
qum	qum.n.01
rasht	rasht.n.01
shiraz	shiraz.n.01
tabriz	tabriz.n.01
teheran	teheran.n.01
urmia	urmia.n.02
iraq	iraq.n.01
assur	assur.n.01
assyria	assyria.n.01
assur	assur.n.01
nineveh	nineveh.n.01
babylonia	babylonia.n.01
sumer	sumer.n.01
ur	ur.n.01
baghdad	baghdad.n.01
basra	basra.n.01
chaldea	chaldea.n.01
euphrates	euphrates.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kerbala	kerbala.n.01
kirkuk	kirkuk.n.01
kurdistan	kurdistan.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kurd	kurd.n.01
mesopotamia	mesopotamia.n.01
assyria	assyria.n.01
assur	assur.n.01
nineveh	nineveh.n.01
babylon	babylon.n.01
hanging_gardens_of_babylon	hanging_gardens_of_babylon.n.01
tower_of_babel	tower_of_babel.n.01
babylonia	babylonia.n.01
sumer	sumer.n.01
ur	ur.n.01
chaldea	chaldea.n.01
mosul	mosul.n.01
nineveh	nineveh.n.01
sumer	sumer.n.01
ur	ur.n.01
syrian_desert	syrian_desert.n.01
tigris	tigris.n.01
israel	israel.n.01
acre	acre.n.03
caesarea	caesarea.n.01
dead_sea	dead_sea.n.01
galilee	galilee.n.01
nazareth	nazareth.n.01
gaza_strip	gaza_strip.n.01
golan_heights	golan_heights.n.01
gomorrah	gomorrah.n.01
hefa	hefa.n.01
jerusalem	jerusalem.n.01
calvary	calvary.n.01
holy_sepulcher	holy_sepulcher.n.01
temple_of_jerusalem	temple_of_jerusalem.n.01
wailing_wall	wailing_wall.n.01
zion	zion.n.01
mount_carmel	mount_carmel.n.01
negev	negev.n.01
sodom	sodom.n.02
tel_aviv	tel_aviv.n.01
jaffa	jaffa.n.01
west_bank	west_bank.n.01
bethlehem	bethlehem.n.02
jericho	jericho.n.01
nablus	nablus.n.01
israel	israel.n.02
jordan	jordan.n.02
al_aqabah	al_aqabah.n.01
amman	amman.n.01
az_zarqa	az_zarqa.n.01
dead_sea	dead_sea.n.01
syrian_desert	syrian_desert.n.01
kuwait	kuwait.n.02
kuwait	kuwait.n.01
lebanon	lebanon.n.01
bayrut	bayrut.n.01
byblos	byblos.n.01
sayda	sayda.n.01
sur	sur.n.01
tarabulus	tarabulus.n.01
levant	levant.n.02
saudi_arabia	saudi_arabia.n.01
dhahran	dhahran.n.01
hejaz	hejaz.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
jeddah	jeddah.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
nefud	nefud.n.01
nejd	nejd.n.01
riyadh	riyadh.n.01
rub_al-khali	rub_al-khali.n.01
syrian_desert	syrian_desert.n.01
tabuk	tabuk.n.01
taif	taif.n.01
syria	syria.n.01
al_ladhiqiyah	al_ladhiqiyah.n.01
dimash	dimash.n.01
euphrates	euphrates.n.01
halab	halab.n.01
kurdistan	kurdistan.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kurd	kurd.n.01
syrian_desert	syrian_desert.n.01
tigris	tigris.n.01
turkey	turkey.n.02
abydos	abydos.n.01
adana	adana.n.01
aegospotami	aegospotami.n.01
ankara	ankara.n.01
antalya	antalya.n.01
antioch	antioch.n.01
ararat	ararat.n.01
aras	aras.n.01
bosporus	bosporus.n.01
bursa	bursa.n.01
dardanelles	dardanelles.n.01
edirne	edirne.n.01
euphrates	euphrates.n.01
halicarnassus	halicarnassus.n.01
istanbul	istanbul.n.01
bosporus_bridge	bosporus_bridge.n.01
chalcedon	chalcedon.n.01
hagia_sophia	hagia_sophia.n.01
izmir	izmir.n.01
kurdistan	kurdistan.n.01
iraqi_kurdistan	iraqi_kurdistan.n.01
kurd	kurd.n.01
pergamum	pergamum.n.01
sardis	sardis.n.01
seyhan	seyhan.n.01
tigris	tigris.n.01
mobile_bay	mobile_bay.n.01
mojave	mojave.n.02
death_valley	death_valley.n.01
moldova	moldova.n.01
kishinev	kishinev.n.01
moreton_bay	moreton_bay.n.01
narragansett_bay	narragansett_bay.n.01
black	black.n.05
normandie	normandie.n.01
basse-normandie	basse-normandie.n.01
haute-normandie	haute-normandie.n.01
north_sea	north_sea.n.01
kattegatt	kattegatt.n.01
orkney_islands	orkney_islands.n.01
skagerrak	skagerrak.n.01
zuider_zee	zuider_zee.n.01
northern_hemisphere	northern_hemisphere.n.01
eurasia	eurasia.n.01
asia	asia.n.01
afghanistan	afghanistan.n.01
herat	herat.n.01
hindu_kush	hindu_kush.n.01
khyber_pass	khyber_pass.n.01
tirich_mir	tirich_mir.n.01
jalalabad	jalalabad.n.01
kabul	kabul.n.01
kandahar	kandahar.n.01
khyber_pass	khyber_pass.n.01
mazar-i-sharif	mazar-i-sharif.n.01
pamir_mountains	pamir_mountains.n.01
altai_mountains	altai_mountains.n.01
arabian_peninsula	arabian_peninsula.n.01
arabian_desert	arabian_desert.n.02
arabian_desert	arabian_desert.n.01
nubian_desert	nubian_desert.n.01
rub_al-khali	rub_al-khali.n.01
sinai	sinai.n.02
syrian_desert	syrian_desert.n.01
hejaz	hejaz.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
nejd	nejd.n.01
oman	oman.n.01
muscat	muscat.n.02
qatar	qatar.n.02
qatar	qatar.n.01
doha	doha.n.01
saudi_arabia	saudi_arabia.n.01
dhahran	dhahran.n.01
hejaz	hejaz.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
jeddah	jeddah.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
nefud	nefud.n.01
nejd	nejd.n.01
riyadh	riyadh.n.01
rub_al-khali	rub_al-khali.n.01
syrian_desert	syrian_desert.n.01
tabuk	tabuk.n.01
